,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
170,Bayer's City Hotel,8.3,"Ludwigsvorstadt, Munich",Very Good ,899 reviews,Price 465 zł,1.1 km from center,Standard Double or Twin Room,3,,
171,B&B Hotel München-Moosach,7.6,"Moosach, Munich",Good ,"2,168 reviews",Price 380 zł,7 km from center,Double Room,3,,
172,Living Hotel am Olympiapark,7.7,"Neuhausen - Nymphenburg, Munich",Good ,"1,251 reviews",Price 332 zł,4.4 km from center,Business Apartment French,3,,
173,Hotel Mariahilf München,7.1,"Au-Haidhausen, Munich",Good ,329 reviews,Price 422 zł,1.3 km from center,Single Room,3,Breakfast included,
174,H4 Hotel München Messe,8.2,"Trudering - Riem, Munich",Very Good ,"3,272 reviews",Price 506 zł,8.4 km from center,Comfort Double or Twin Room,4,,
175,ACHAT Hotel München Süd,7.9,"Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln, Munich",Good ,"1,776 reviews",Price 314 zł,6.5 km from center,Business Single Room,4,,
176,Hotel Hauser an der Universität,8.5,"Maxvorstadt, Munich",Very Good ,335 reviews,Price 516 zł,1.4 km from center,Single Room,3,Breakfast included,Location 9.7
177,The Dot | 24/7 Checkin,7.6,"Sendling - Westpark, Munich",Good ,331 reviews,Price 206 zł,4.1 km from center,Single Room with Shared Bathroom,0,,
178,a&o München Hackerbrücke,5.5,"Neuhausen - Nymphenburg, Munich",Review score ,"4,304 reviews",Price 99 zł,2.7 km from center,Bed in 8-Bed Dormitory Room,2,,
179,Hotel Aurbacher Hof GmbH,7.8,"Au-Haidhausen, Munich",Good ,"1,188 reviews",Price 418 zł,1.9 km from center,Single Room,3,,
180,H2 Hotel München Messe,8.1,"Trudering - Riem, Munich",Very Good ,"3,177 reviews",Price 454 zł,8.5 km from center,Comfort Double Room,3,Breakfast included,
181,Courtyard by Marriott Munich City East,7.6,"Au-Haidhausen, Munich",Good ,965 reviews,Price 545 zł,2.5 km from center,"Quality room, Guest room, 1 King ",4,,
182,Hotel Südstern,8.3,"Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln, Munich",Very Good ,928 reviews,Price 371 zł,7.1 km from center,Single Room,0,,
