,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
35,Mickey Mouse & Studio Mini,8.9,"Lower Town, Zagreb",Excellent ,405 reviews,Price 244 zł,150 m from center,Studio,3,,Location 9.8
36,WOODY - Your Sleep Oasis in Zagreb,9.3,"Lower Town, Zagreb",Wonderful ,109 reviews,Price 235 zł,0.5 km from center,Studio Apartment,3,,Location 9.8
37,Hilton Garden Inn Zagreb - Radnička,8.8,Zagreb,Excellent ,"2,074 reviews",Price 406 zł,1.9 km from center,King Room,4,,
38,Hedonistic room Zagreb Center,10,"Lower Town, Zagreb",Exceptional ,1 review,Price 201 zł,1 km from center,Standard Double Room with Shared Bathroom,0,,Location 10
39,The Loop Hotel,8.8,Zagreb,Excellent ,"1,049 reviews",Price 398 zł,2.8 km from center,Superior Double Room,3,Breakfast included,
40,Hotel AS,9.0,"Upper Town – Medvescak, Zagreb",Wonderful ,441 reviews,Price 430 zł,1.6 km from center,Single Deluxe,4,Breakfast included,
41,Chez Ria,9.2,"Upper Town – Medvescak, Zagreb",Wonderful ,126 reviews,Price 253 zł,0.5 km from center,One-Bedroom Apartment,3,,Location 9.8
42,Apartment Lana,8.1,"Lower Town, Zagreb",Very Good ,910 reviews,Price 164 zł,0.6 km from center,Double Room with Shared Bathroom,0,,Location 9.4
43,Hotel Dubrovnik,8.8,"Lower Town, Zagreb",Excellent ,"3,667 reviews",Price 462 zł,100 m from center,Standard Single Room,4,Breakfast included,Location 9.8
44,Hotel 9,9.0,Zagreb,Wonderful ,"1,631 reviews",Price 477 zł,1.8 km from center,Standard Double Room,4,,
45,Hotel Academia,8.8,"Upper Town – Medvescak, Zagreb",Excellent ,"1,934 reviews",Price 481 zł,0.7 km from center,Twin Room,4,Breakfast included,Location 9.7
46,Livris Hotel,9.2,Zagreb,Wonderful ,"1,442 reviews",Price 313 zł,2.3 km from center,Budget Single Room,4,Breakfast included,
47,Premium Class Apartments II,9.3,"Lower Town, Zagreb",Wonderful ,78 reviews,Price 328 zł,50 m from center,One-Bedroom Apartment,4,,Location 9.8
48,King Tomislav Square Studio Apartments,,"Lower Town, Zagreb",,,Price 171 zł,0.7 km from center,Studio Apartment,0,,
49,The Dots Hostel,9.2,"Lower Town, Zagreb",Wonderful ,565 reviews,Price 235 zł,450 m from center,Single Room with Shared Bathroom,0,,Location 9.6
50,At queens,9.1,"Lower Town, Zagreb",Wonderful ,"1,027 reviews",Price 222 zł,0.7 km from center,Superior Apartment,3,,Location 9.5
51,The Loop Hotel,8.8,Zagreb,Excellent ,"1,049 reviews",Original price 398 zł. Current price 373 zł.,2.8 km from center,Superior Double Room,3,Breakfast included,
52,Hotel AS,9.0,"Upper Town – Medvescak, Zagreb",Wonderful ,441 reviews,Price 430 zł,1.6 km from center,Single Deluxe,4,Breakfast included,
53,Chez Ria,9.2,"Upper Town – Medvescak, Zagreb",Wonderful ,126 reviews,Original price 253 zł. Current price 237 zł.,0.5 km from center,One-Bedroom Apartment,3,,Location 9.8
54,WOODY - Your Sleep Oasis in Zagreb,9.3,"Lower Town, Zagreb",Wonderful ,109 reviews,Original price 235 zł. Current price 219 zł.,0.5 km from center,Studio Apartment,3,,Location 9.8
