,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
117,Casa dragão,7.5,"Campanhã, Porto",Good ,54 reviews,Price 127 zł,3.1 km from center,Double Room with Shared Toilet,0,,
118,HOSPEDARIA LONDRES,8.9,"Campanhã, Porto",Excellent ,60 reviews,Price 216 zł,2 km from center,Double Room,0,,
119,Sheraton Porto Hotel & Spa,8.7,"Lordelo do Ouro e Massarelos, Porto",Excellent ,"1,226 reviews",Price 624 zł,2.8 km from center,"Deluxe, Guest room, 1 Queen",5,,
120,Moreira Terrace,7.6,"Bonfim, Porto",Good ,701 reviews,Price 183 zł,1 km from center,Single Room,0,,
121,Ribeiredge Guest House,7.8,"União de Freguesias do Centro, Porto",Good ,433 reviews,Price 291 zł,1 km from center,Standard Double Room,4,Breakfast included,Location 9.4
122,Vincci Porto,8.6,"Lordelo do Ouro e Massarelos, Porto",Excellent ,"4,369 reviews",Original price 581 zł. Current price 524 zł.,1.8 km from center,Double or Twin Room,4,,
123,BessaHotel Baixa,9.1,"União de Freguesias do Centro, Porto",Wonderful ,"3,016 reviews",Price 544 zł,0.6 km from center,Executive Double or Twin Room,4,,
124,BCharming House,8.6,"União de Freguesias do Centro, Porto",Excellent ,615 reviews,Price 284 zł,1.6 km from center,Double Room,0,,
125,Exmo Hotel by Olivia,9.4,"União de Freguesias do Centro, Porto",Wonderful ,583 reviews,Price 619 zł,1 km from center,Cozy City View,4,Breakfast included,Location 9.8
126,Guest House Estrela,7.1,"Bonfim, Porto",Good ,517 reviews,Price 131 zł,1.2 km from center,Double Room with Shared Bathroom,0,,
127,Métier Boutique Hotel,8.8,"Bonfim, Porto",Excellent ,972 reviews,Original price 479 zł. Current price 385 zł.,1.4 km from center,Standard Double Room,0,Breakfast included,
128,Porto Antas Hotel,8.1,"Campanhã, Porto",Very Good ,679 reviews,Price 319 zł,2.3 km from center,Standard Double or Twin Room,3,Breakfast included,
129,Mirandesa Guesthouse,7.7,"Bonfim, Porto",Good ,"1,364 reviews",Price 230 zł,1.2 km from center,Single Room with Private External Bathroom,3,Breakfast included,
130,BCharming House,8.6,"União de Freguesias do Centro, Porto",Excellent ,615 reviews,Price 314 zł,1.6 km from center,Double Room with Balcony,0,,
131,ICON Duplo Ribeira,9.3,"União de Freguesias do Centro, Porto",Wonderful ,165 reviews,Original price 849 zł. Current price 681 zł.,0.9 km from center,Standard Double or Twin Room,4,Breakfast included,Location 9.8
132,Porto A.S. 1829 Hotel,8.8,"União de Freguesias do Centro, Porto",Excellent ,"2,071 reviews",Price 518 zł,0.8 km from center,Small Double or Twin Room,4,,Location 9.7
133,In Porto Gallery Guesthouse,9.1,"União de Freguesias do Centro, Porto",Wonderful ,406 reviews,Price 479 zł,100 m from center,Double Room with Balcony,4,Breakfast included,Location 9.6
134,Seventyset Flats - Porto Historical Center,9.0,"União de Freguesias do Centro, Porto",Wonderful ,361 reviews,Price 302 zł,1.1 km from center,Studio,4,,Location 9.5
135,ibis Porto Centro São Bento,7.7,"União de Freguesias do Centro, Porto",Good ,"1,691 reviews",Price 299 zł,0.6 km from center,Standard Double Room,2,,
136,Three Houses & Bedrooms,8.8,"Lordelo do Ouro e Massarelos, Porto",Excellent ,859 reviews,Price 291 zł,1.4 km from center,Double or Twin Room,3,,
137,Hotel Portucalense,6.9,"Paranhos, Porto",Review score ,799 reviews,Price 199 zł,2.6 km from center,Standard Double Room,2,,
138,Eurostars Oporto,8.8,"Paranhos, Porto",Excellent ,"1,223 reviews",Price 333 zł,4 km from center,Double or Twin Room with Balcony + Parking,4,,
